2030,Saudi Arabia Refineries Co.
2222,Saudi Arabian Oil Co.
2380,Rabigh Refining and Petrochemical Co.
2381,Arabian Drilling Co.
2382,Ades Holding Co.
4030,National Shipping Company of Saudi Arabia
4200,Aldrees Petroleum and Transport Services Co.
1201,Takween Advanced Industries Co.
1202,Middle East Paper Co.
1210,Basic Chemical Industries Co.
1211,Saudi Arabian Mining Co.
1301,United Wire Factories Co.
1304,Al Yamamah Steel Industries Co.
1320,Saudi Steel Pipe Co.
1321,East Pipes Integrated Company for Industry
1322,Almasane Alkobra Mining Co.
2001,Methanol Chemicals Co.
2010,Saudi Basic Industries Corp.
2020,SABIC Agri-Nutrients Co.
2060,National Industrialization Co.
2090,National Gypsum Co.
2150,The National Company for Glass Industries
2170,Alujain Corp.
2180,Filing and Packing Materials Manufacturing Co.
2200,Arabian Pipes Co.
2210,Nama Chemicals Co.
2220,National Metal Manufacturing and Casting Co.
2223,Saudi Aramco Base Oil Co.
2240,Zamil Industrial Investment Co.
2250,Saudi Industrial Investment Group
2290,Yanbu National Petrochemical Co.
2300,Saudi Paper Manufacturing Co.
2310,Sahara International Petrochemical Co.
2330,Advanced Petrochemical Co.
2350,Saudi Kayan Petrochemical Co.
2360,Saudi Vitrified Clay Pipes Co.
3001,Hail Cement Co.
3002,Najran Cement Co.
3003,City Cement Co.
3004,Northern Region Cement Co.
3005,Umm Al-Qura Cement Co.
3007,Zahrat Al Waha for Trading Co.
3008,Al Kathiri Holding Co.
3010,Arabian Cement Co.
3020,Yamama Cement Co.
3030,Saudi Cement Co.
3040,Qassim Cement Co.
3050,Southern Province Cement Co.
3060,Yanbu Cement Co.
3080,Eastern Province Cement Co.
3090,Tabuk Cement Co.
3091,Al Jouf Cement Co.
3092,Riyadh Cement Co.
9513,Watani Iron Steel Co.
9514,Mohammed Hasan AlNaqool Sons Co.
9523,Group Five Pipe Saudi Co.
9539,Aqaseem Factory for Chemicals and Plastics Co.
9548,Arabian Plastic Industrial Co.
9552,Saudi Top for Trading Co.
9553,Molan Steel Co.
9563,Bena Steel Industries Co.
9565,Meyar Co.
9566,Saudi Lime Industries Co.
9575,Marble Design Co.
9576,Paper Home Co.
9580,Al Rashid Industrial Co.
9583,United Mining Industries Co.
9588,Riyadh Steel Co.
1212,Astra Industrial Group
1214,Al Hassan Ghazi Ibrahim Shaker Co.
1302,Bawan Co.
1303,Electrical Industries Co.
2040,Saudi Ceramic Co.
2110,Saudi Cable Co.
2160,Saudi Arabian Amiantit Co.
2320,Al-Babtain Power and Telecommunication Co.
2370,Middle East Specialized Cables Co.
4110,Batic Investments and Logistics Co.
4140,Saudi Industrial Export Co.
4141,Al-Omran Industrial Trading Co.
4142,Riyadh Cables Group Co.
9510,National Building and Marketing Co.
9525,Alwasail Industrial Co.
9528,Gas Arabian Services Co.
9529,Raoom Trading Co.
9531,Obeikan Glass Co.
9533,Saudi Parts Center Co.
9542,Keir International Co.
9547,Rawasi Albina Investment Co.
9560,Waja Co.
9568,Mayar Holding Co.
9569,"Almuneef Company for Trade, Industry, Agriculture and Contracting"
9578,Atlas Elevators General Trading and Contracting Co.
1831,Maharah Human Resources Co.
1832,Sadr Logistics Co.
1833,Al Mawarid Manpower Co.
4270,Saudi Printing and Packaging Co.
6004,CATRION Catering Holding Co.
9540,National Environmental Recycling Co.
9545,International Human Resources Co.
9570,Tam Development Co.
9581,Clean Life Co.
2190,Sustained Infrastructure Holding Co.
